state, city, station,fromDate, AT, BP, PM10, PM2.5, RH, SR,  Toluene, WD, WS, CO, Benzene, NH3, NO, NO2, NOx, Ozone, SO2
Delhi,Delhi,site_301,02-Jul-2020 - 04:00,35.23,971.8,77.5,59.5,65.62,9.38,23.12,61.25,0.32,1.17,4.17,25.0,4.65,17.68,13.18,68.42,8.95
Delhi,Delhi,site_301,02-Jul-2020 - 05:00,35.08,971.8,73.5,55.0,65.78,44.65,16.48,90.0,0.35,1.15,3.97,24.78,6.32,25.75,18.88,51.5,9.0
Delhi,Delhi,site_301,02-Jul-2020 - 06:00,35.28,971.8,77.25,56.25,65.38,288.38,16.15,109.75,0.35,1.15,4.67,25.75,12.55,34.67,28.68,39.47,9.75
Delhi,Delhi,site_301,02-Jul-2020 - 07:00,36.12,971.8,84.25,60.0,62.45,371.48,12.45,98.5,0.35,1.47,3.0,25.82,10.88,35.65,27.8,42.67,11.2
Delhi,Delhi,site_301,02-Jul-2020 - 08:00,37.1,971.8,93.0,64.75,60.78,414.32,35.95,79.0,0.45,1.47,3.1,25.78,10.18,35.52,27.18,60.23,13.57
Delhi,Delhi,site_301,02-Jul-2020 - 09:00,38.45,971.77,121.0,82.5,57.18,422.6,59.03,124.75,0.38,2.1,4.12,26.32,9.22,41.42,29.57,90.82,14.78
Delhi,Delhi,site_301,02-Jul-2020 - 10:00,40.08,971.7,127.25,86.75,51.25,425.32,54.42,141.0,0.57,2.23,4.0,22.48,10.3,41.0,30.22,126.57,11.77
Delhi,Delhi,site_301,02-Jul-2020 - 11:00,41.35,971.75,109.25,68.5,48.28,413.4,16.45,227.0,0.3,2.1,2.9,21.98,7.85,47.27,31.55,158.47,10.6
Delhi,Delhi,site_301,02-Jul-2020 - 12:00,41.88,971.7,110.0,72.5,46.65,398.55,13.08,180.25,0.3,2.08,2.72,23.6,8.18,44.8,30.45,184.35,11.12
Delhi,Delhi,site_301,02-Jul-2020 - 13:00,43.17,971.7,126.0,81.0,43.55,402.35,20.75,242.0,0.4,1.67,3.02,23.5,11.25,58.8,40.45,147.12,11.45
Delhi,Delhi,site_301,02-Jul-2020 - 14:00,42.52,971.7,146.0,85.0,44.88,379.18,14.38,249.5,0.38,1.48,2.8,24.38,15.2,58.38,43.42,144.8,11.38
Delhi,Delhi,site_301,02-Jul-2020 - 15:00,42.25,971.7,139.25,87.0,45.3,370.4,11.52,220.75,0.32,1.25,2.15,25.68,20.35,56.5,46.6,128.35,12.0
Delhi,Delhi,site_301,02-Jul-2020 - 16:00,41.07,971.77,129.5,81.0,47.88,356.65,9.4,182.75,0.35,1.18,1.7,25.5,11.1,39.08,29.85,132.12,11.32
Delhi,Delhi,site_301,02-Jul-2020 - 17:00,39.9,971.88,135.5,72.5,51.2,330.2,8.47,184.0,0.32,0.72,1.65,25.65,9.7,38.27,28.28,132.95,11.43
Delhi,Delhi,site_301,02-Jul-2020 - 18:00,38.8,971.9,136.25,74.75,55.7,221.15,14.65,118.5,0.32,0.8,1.9,25.77,5.65,38.95,25.35,130.6,11.0
Delhi,Delhi,site_301,02-Jul-2020 - 19:00,38.15,971.8,130.5,79.0,57.8,30.3,32.73,91.5,0.3,1.15,3.6,26.48,7.3,55.75,35.62,161.57,20.83
Delhi,Delhi,site_301,02-Jul-2020 - 20:00,37.85,971.8,149.5,86.5,58.85,9.35,58.42,66.5,0.3,1.52,5.75,27.48,6.65,60.38,37.58,95.05,24.05
Delhi,Delhi,site_301,02-Jul-2020 - 21:00,37.65,971.8,151.75,85.25,59.93,9.32,78.33,65.25,0.38,0.88,8.57,26.23,4.88,34.18,22.12,104.93,13.6
Delhi,Delhi,site_301,02-Jul-2020 - 22:00,37.25,971.8,131.0,67.75,61.93,9.35,27.3,83.25,0.45,0.62,3.0,25.85,5.0,28.15,19.03,89.25,10.72
Delhi,Delhi,site_301,03-Jul-2020 - 00:00,36.8,971.8,122.0,76.75,61.58,9.2,32.02,95.0,0.38,1.25,5.75,26.43,4.55,20.35,14.58,88.45,9.97
Delhi,Delhi,site_301,03-Jul-2020 - 01:00,36.55,971.8,117.0,74.0,62.5,9.33,16.0,145.5,0.3,1.35,2.65,28.48,4.45,23.02,15.9,64.6,9.32
Delhi,Delhi,site_301,03-Jul-2020 - 02:00,36.3,971.8,100.75,59.75,62.2,9.33,10.9,134.5,0.35,1.15,2.4,26.65,4.9,14.95,11.95,90.7,8.5
Delhi,Delhi,site_301,03-Jul-2020 - 03:00,36.25,971.8,98.5,64.75,61.88,9.35,8.38,149.5,0.35,1.27,2.05,26.5,4.03,17.48,12.55,93.27,7.92
Delhi,Delhi,site_301,03-Jul-2020 - 04:00,36.0,971.82,105.75,73.5,63.15,9.33,7.83,47.5,0.3,1.3,2.35,26.98,4.47,28.9,19.0,66.4,8.65
Delhi,Delhi,site_301,03-Jul-2020 - 05:00,35.75,971.85,113.25,75.75,64.25,34.73,9.4,38.0,0.3,1.62,2.92,27.15,7.27,44.1,29.38,41.4,9.05
Delhi,Delhi,site_301,03-Jul-2020 - 06:00,36.2,971.8,114.25,79.5,64.1,309.2,20.85,60.0,0.3,1.93,4.03,28.0,12.38,43.02,32.97,36.1,10.12
Delhi,Delhi,site_301,03-Jul-2020 - 07:00,37.67,971.8,126.5,85.0,59.38,383.18,29.3,86.5,0.38,2.67,4.15,29.65,9.22,36.9,27.15,52.4,11.8
Delhi,Delhi,site_301,03-Jul-2020 - 08:00,39.58,971.77,136.25,90.5,53.68,410.7,31.18,90.75,0.38,2.85,7.05,29.68,6.72,37.45,25.43,86.7,12.07
Delhi,Delhi,site_301,03-Jul-2020 - 09:00,41.1,971.7,143.0,96.25,49.27,416.62,34.72,102.75,0.32,2.02,6.33,27.25,7.22,41.45,27.93,129.57,12.38
Delhi,Delhi,site_301,03-Jul-2020 - 10:00,42.0,971.7,146.5,91.75,47.45,417.12,32.23,109.0,0.57,1.83,4.83,27.52,6.28,44.02,28.5,154.75,12.68
Delhi,Delhi,site_301,03-Jul-2020 - 11:00,41.08,971.7,159.5,96.75,51.55,426.42,31.77,76.0,1.62,1.8,4.47,29.62,5.28,37.28,24.12,152.6,12.4
Delhi,Delhi,site_301,03-Jul-2020 - 12:00,41.2,971.7,164.0,102.5,51.77,420.77,31.78,79.25,1.82,1.75,4.22,29.57,5.38,35.55,23.32,141.75,13.3
