state, city, station,fromDate, AT, BP, PM10, PM2.5, RH, SR, Temp, Toluene, WD, WS, CO, Benzene,P-Xylene, NH3, NO, NO2, NOx, Ozone, SO2
Maharastra,Solapur,site_302,17-Jan-2018 - 22:00,None,961.38,196.06,None,None,None,None,None,251.45,None,0.0,None,None,None,None,None,154.61,None,None
Maharastra,Thane,site_305,17-Jan-2018 - 00:00,None,None,381.9,117.11,69.18,None,23.08,3.14,152.61,1.06,2.47,33.47,None,264.58,223.78,216.92,213.64,6.3,12.56
Maharastra,Thane,site_305,17-Jan-2018 - 01:00,None,None,392.39,118.31,75.76,None,22.43,3.03,195.62,0.77,2.37,31.59,None,278.09,241.89,218.42,222.85,6.88,17.32
Maharastra,Thane,site_305,17-Jan-2018 - 02:00,None,None,346.98,111.51,71.0,None,22.39,2.83,127.45,1.02,2.23,25.42,None,132.48,84.66,93.41,88.52,6.02,19.4
Maharastra,Thane,site_305,17-Jan-2018 - 03:00,None,None,239.58,59.41,71.09,None,21.7,0.5,200.82,0.84,1.57,13.35,None,146.11,116.33,64.89,113.46,5.91,40.15
Maharastra,Thane,site_305,17-Jan-2018 - 04:00,None,None,192.79,60.39,79.52,None,20.23,1.5,181.41,0.74,0.27,13.27,None,204.22,187.75,136.04,161.1,6.27,18.31
Maharastra,Thane,site_305,17-Jan-2018 - 05:00,None,None,196.33,59.53,75.88,None,20.6,1.5,147.05,0.87,0.0,14.63,None,152.76,121.04,88.15,107.71,7.42,17.04
Maharastra,Thane,site_305,17-Jan-2018 - 06:00,None,None,167.37,51.06,79.11,None,19.83,0.91,171.43,1.11,0.0,10.89,None,210.48,182.68,153.76,161.54,5.39,25.58
Maharastra,Thane,site_305,17-Jan-2018 - 07:00,None,None,147.31,47.77,78.51,None,19.98,0.72,169.6,0.69,0.04,11.21,None,197.61,158.94,142.81,144.78,6.76,31.53
Maharastra,Thane,site_305,17-Jan-2018 - 08:00,None,None,155.75,51.32,67.97,65.06,22.8,0.99,157.23,0.89,0.65,17.97,None,188.16,134.72,142.2,133.19,6.6,59.52
Maharastra,Thane,site_305,17-Jan-2018 - 09:00,None,None,182.9,62.72,54.96,169.47,25.78,1.08,264.24,1.12,0.36,15.35,None,165.25,71.45,154.73,110.32,7.98,99.38
Maharastra,Thane,site_305,17-Jan-2018 - 10:00,None,None,195.95,61.76,44.46,269.75,28.21,0.88,209.48,0.94,0.38,10.99,None,141.22,45.65,144.38,92.92,13.23,29.73
Maharastra,Thane,site_305,17-Jan-2018 - 11:00,None,None,194.57,54.16,36.64,332.82,30.44,1.37,222.89,1.2,0.83,7.62,None,116.21,24.51,109.31,67.75,25.16,31.7
Maharastra,Thane,site_305,17-Jan-2018 - 12:00,None,None,170.84,47.89,28.84,365.83,32.24,0.82,297.32,1.64,2.39,4.95,None,76.65,16.97,52.55,36.35,37.02,132.0
Maharastra,Thane,site_305,17-Jan-2018 - 13:00,None,None,122.8,41.74,27.24,253.06,33.1,0.15,273.88,1.44,2.22,2.22,None,61.61,11.01,37.6,21.22,54.75,76.11
Maharastra,Thane,site_305,17-Jan-2018 - 14:00,None,None,92.12,32.68,25.36,199.95,33.52,0.07,124.44,0.97,1.68,1.86,None,69.17,14.94,42.27,29.4,52.0,108.3
Maharastra,Thane,site_305,17-Jan-2018 - 15:00,None,None,96.54,39.6,26.83,155.58,33.45,0.19,241.09,1.07,0.08,1.08,None,67.8,13.49,37.01,23.51,56.88,None
Maharastra,Thane,site_305,17-Jan-2018 - 16:00,None,None,93.07,32.2,28.75,98.77,33.15,0.21,273.38,2.08,0.1,1.32,None,62.34,10.56,36.56,20.27,56.22,55.51
Maharastra,Thane,site_305,17-Jan-2018 - 17:00,None,None,90.46,30.1,38.65,26.9,31.03,0.07,259.49,2.74,0.02,4.17,None,78.18,10.35,38.51,21.2,79.27,34.41
Maharastra,Thane,site_305,17-Jan-2018 - 18:00,None,None,99.71,32.49,45.12,None,29.14,0.14,270.33,2.29,0.0,3.32,None,84.55,11.45,61.81,34.3,56.56,31.5
Maharastra,Thane,site_305,17-Jan-2018 - 19:00,None,None,121.72,36.92,48.25,None,27.87,0.35,273.3,2.13,0.11,5.42,None,90.22,12.31,80.42,44.24,30.12,20.79
Maharastra,Thane,site_305,17-Jan-2018 - 20:00,None,None,137.15,41.82,50.89,None,27.25,0.5,275.32,1.83,0.0,8.13,None,87.84,13.05,78.47,44.56,25.26,21.82
Maharastra,Thane,site_305,17-Jan-2018 - 21:00,None,None,145.5,42.34,52.75,None,26.72,0.29,250.99,1.49,0.0,6.27,None,85.78,14.74,73.4,43.84,20.28,44.03
Maharastra,Thane,site_305,17-Jan-2018 - 22:00,None,None,158.76,49.34,63.22,None,24.47,0.94,210.05,0.58,0.0,9.08,None,177.13,97.47,156.61,123.41,8.75,19.61
